trialRef,frameNumber,xCoord,yCoord,orientation,height,pitch
13970,622,1037.317073,997.3170732,328.902439,1350.804878,0
13970,623,1046.682927,996.6829268,330.097561,1364.195122,0
13970,624,1056.04878,996.0487805,331.2926829,1377.585366,0
13970,625,1065.414634,995.4146341,332.4878049,1390.97561,0
13970,626,1074.780488,994.7804878,333.6829268,1404.365854,0
13970,627,1084.146341,994.1463415,334.8780488,1417.756098,0
13970,628,1093.512195,993.5121951,336.0731707,1431.146341,0
13970,629,1102.878049,992.8780488,337.2682927,1444.536585,0
13970,630,1112.243902,992.2439024,338.4634146,1457.926829,0
13970,631,1121.609756,991.6097561,339.6585366,1471.317073,0
13970,632,1130.97561,990.9756098,340.8536585,1484.707317,0
13970,633,1140.341463,990.3414634,342.0487805,1498.097561,0
13970,634,1149.707317,989.7073171,343.2439024,1511.487805,0
13970,635,1159.073171,989.0731707,344.4390244,1524.878049,0
13970,636,1168.439024,988.4390244,345.6341463,1538.268293,0
13970,637,1177.804878,987.804878,346.8292683,1551.658537,0
13970,638,1187.170732,987.1707317,348.0243902,1565.04878,0
13970,639,1196.536585,986.5365854,349.2195122,1578.439024,0
13970,640,1205.902439,985.902439,350.4146341,1591.829268,0
13970,641,1215.268293,985.2682927,351.6097561,1605.219512,0
13970,642,1224.634146,984.6341463,352.804878,1618.609756,0
13970,643,1234,984,354,1632,0
13970,644,1268,1007,216,1606,0
13970,645,1300,1002,229,1572,0
13970,646,1331,979,237,1532,0
13970,647,1360,942,233,1495,0
13970,648,1386,896,242,1450,0
13970,649,1411,839,243,1411,0
13970,650,1434,779,248,1376,0
13970,651,1455,716,251,1349,0
13970,652,1474,651,225,1326,0
13970,653,1494,591,220,1326,0
13970,654,1520,542,218,1340,0
13970,655,1550,505,228,1349,0
13970,656,1584,471,232,1356,0
13970,657,1618,442,254,1367,0
13970,658,1648,420,268,1358,0
13970,659,1673,391,268,1351,0
13970,660,1689,362,270,1340,0
13970,661,1700,337,276,1329,0
13970,662,1709,308,286,1312,0
13970,663,1712,283,293,1278,0
13970,664,1707,257,285,1247,0
13970,665,1695,237,296,1235,0
13970,666,1681,226,329,1235,0
13970,667,1665,234,339,1231,0
13970,668,1647,257,357,1239,0
13970,669,1626,300,189,1244,0
13970,670,1604,360,358,1257,0
13970,671,1584,422,188,1282,0
13970,672,1562,482,354,1300,0
13970,673,1535,536,349,1319,0
13970,674,1505,582,347,1335,0
13970,675,1468,619,353,1353,0
13970,676,1425,653,186,1364,0
13970,677,1379,691,201,1389,0
13970,678,1331,733,205,1405,0
